"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Data Scientist: Retail Demand Forecasting","https://www.upwork.com/job/Data-Scientist-Retail-Demand-Forecasting_~01f38cf805e069445f/","Intermediate",NA,2019-06-13,"Academic qualification in statistics, mathematics or similar field 3-4 years experience in statistical data analysis in R and/or Python Experience in linear, multiple, multilevel, time series, random forest and other non-parametric regressions Abilit ... more",NA,1,"$900k+ ","4.90 Stars, based on 52 feedbacks","South Africa",NA,4.9,52
"2","Data Analytics","https://www.upwork.com/job/Data-Analytics_~019001040c7c21d929/","Intermediate",NA,2019-06-12,"Seeking applications for a Quantitative Analyst to support a BSA/AML Compliance Department in a variety of activities related to the design, maintenance, and optimization of compliance models. The models include AML transaction monitoring, sanctions filtering, and customer risk. Level to be determined by experience and educational background. Desired skills (Required): • Strong foundation in statistical methods (e.g. econometrics, sampling) and statistical reasoning • Strong programming skills in R and/or Python, and SQL • Demonstrable ability in the application of analytics to problem solving, from issue identification and problem definition to analytics exploration/solution through to management reporting • Ability to present complex quantitative issues to management and other stakeholders in clear, non-technical terms, both written and oral Subject matter experience (Strongly Desired): • Familiarity with AML transaction monitoring, sanctions filtering, and customer risk models • Familiarity with model validation concepts and applications Educational requirement (Advanced degrees preferred) • Degree in economics, statistics, data science, quantitative methods less","R, SAS, Python, Statistical Analysis",3,"$0 ","No feedback yet","United States",NA,NA,NA
"3","2001 Statistics and Data 4g7t9e6d0b9n","https://www.upwork.com/job/2001-Statistics-and-Data-4g7t9e6d0b9n_~01a4c5c0832c84e83f/","Intermediate",50,2019-06-12,"Need Your help with Data Analysis in R and Statistic Methods","R",NA,"$600k+ ","4.81 Stars, based on 3668 feedbacks","Estonia",NA,4.81,3668
"4","Python/R Expert Needed for CHAID Decision tree model","https://www.upwork.com/job/Python-Expert-Needed-for-CHAID-Decision-tree-model_~011664d121d4ab5223/","Intermediate",150,2019-06-11,"I am looking for an experienced Python/R user who help me to implement CHAID decision model on my data. The successful applicant will have: * Strong understanding of Python / R * Good knowledge of decision decision tree model mostly CHAID statistic model *Good English and communications skills We use SPSS to generate a CHAID tree. We were running CHAID on continuous predictors with SPSS Modeler and it worked fine. SPSS do many things under the hood, I would like to test my data with available CHAID package (Python/R) in order to see if it will give a reasonable result and similar to SPSS output or not. The aim here to run CHAID model on continuous predictors. CHAID decision tree model basically select the predictor that is most significant and then split it into nodes based on significant level. Accordingly it will take predictor and test each one against the predictor variable. We can use Python CHAID package, however we might also need to evaluate other available decision trees package if python CHAID package will not give a valid result. (The SPSS output will be provided for comparison if needed). Data has 5 continuous target variables -- dependent variable and I would like to run CHAID decision tree for each separately to find most significant predictor variables. The data will be in csv format in very tidy form (no data cleaning is needed). less","R, Python",NA,"$100+ ","5.00 Stars, based on 1 feedback","Norway",NA,5,1
"5","Need data scientist with R proficiency to help build out an econometric simulation","https://www.upwork.com/job/Need-data-scientist-with-proficiency-help-build-out-econometric-simulation_~019656afa12d5c057f/","Expert",NA,2019-06-10,"For this project, we are looking to take an existing dataset + model design and build a machine learning simulation that projects changes to housing demand for various US zip codes on a year-by-year basis. This simple model will first predict housing demand (expressed as Housing Price Index value) for the following year based on economic/demographic attributes of a given zip code. Then, those demographics will be updated based on growth assumptions, and then HPI calculated again for the following year, and so on. Seeking a developer proficient in the R language as well as comfortable with core concepts of Machine Learning/statistical inference less","R, Data Engineering, SQL",NA,"$8k+ ","4.87 Stars, based on 23 feedbacks","United States",NA,4.87,23
"6","Solve Neural Network Questions","https://www.upwork.com/job/Solve-Neural-Network-Questions_~0169df29235f7871f3/","Intermediate",50,2019-06-10,"Need help to solve a few questions related to Neural Network and few questions to be solved using R. If you are good in Neural Network and can solve and write answers in word file.","R, Artificial Neural Networks, Data Science,  ",NA,"$60 ","1.67 Stars, based on 2 feedbacks","India",NA,1.67,2
"7","Product Demonstration Video for Software Application","https://www.upwork.com/job/Product-Demonstration-Video-for-Software-Application_~011bc1d3c11b258d27/","Intermediate",200,2019-06-10,"IMPL Ventures is looking for a product demo videographer for MUL8R! Details: - Please research and Google IMPL Ventures and MUL8R -- this will be critical for the job, as there will be an expectation for you to understand the product and the company - IMPL Ventures has developed MUL8R, which is a software development tool that allows developers to 1. Save commonly used/long scripts and then 2. Double click/drag and drop those scripts onto the terminal - The product demo will need to be able to aptly demonstrate the features and benefits of MUL8R - The product demo will need to demonstrate and highlight the problems that MUL8R solves - See example product demo below as well as picture of MUL8R - Good examples: - https://www.youtube.com/watch?v=EBnCSlFWHmE - https://www.youtube.com/watch?v=HpKD0NVlMYk - https://www.youtube.com/watch?v=JWMGdvo_Fx0&list=PLU3aI_CMUx5woJOoUgaueQMlU1jkJKHzO&index=4&t=0s - NOTE: If you contact me through my website or LinkedIn, you will NOT be considered for the job and I wilL REPORT YOU to Upwork as this behavior is AGAINST THE UPWORK POLICY less","Avid Media Composer, Commercial, Maxon Cinema 4D,  ",NA,"$1k+ ","4.98 Stars, based on 13 feedbacks","United States",NA,4.98,13
"8","Need developer for creating statistics webservice in Java","https://www.upwork.com/job/Need-developer-for-creating-statistics-webservice-Java_~0137860d1f8df7423a/","Entrylevel",500,2019-06-09,"I need webservice that is capable to statistically analyze the content of models from XML and provide statistical results and visualization in R framework A webservice consumes the textual representation (e.g. XML, AFL, RAF) of a models.","Web Services, Java",NA,"$0 ","No feedback yet","Switzerland",NA,NA,NA
"9","A statistician for validation of a medical questionnaire","https://www.upwork.com/job/statistician-for-validation-medical-questionnaire_~01eedc5f5ea45b2008/","Intermediate",NA,2019-06-08,"I am looking for an experienced statistical analyst for an ongoing project in validation of a translated medical questionnaire. As this is my first project in this area; someone open to explain the theory and the analysis is preferred.","IBM SPSS, R, SAS, Data Analytics,  ",NA,"$0 ","No feedback yet","Saudi Arabia",NA,NA,NA
"10","Analysis of existing databases - Medical","https://www.upwork.com/job/Analysis-existing-databases-Medical_~01b74d797d69c75e0f/","Intermediate",100,2019-06-06,"I need someone with statistical aptitude to analyze inpatient data from databases I have access too. These results will end up being published in medical journals. Someone with previous experience with inpatient analysis is preferred. SAS, SPSS, STATA are recommended less","R",NA,"$2k+ ","4.17 Stars, based on 10 feedbacks","United States",NA,4.17,10
