"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Data Scientist needed to develop solution around Speech Recognition and NLP","https://www.upwork.com/job/Data-Scientist-needed-develop-solution-around-Speech-Recognition-and-NLP_~01eb40c1f6f33c3980/","Intermediate",NA,2019-06-14,"We need an efficient and agile contractor junior data scientist interested in taking up challenging business problem and building research backed solutions quickly. The position requires a problem-solving mindset with a command on using speech recognition and natural language processing. Role Requirements: - 2 to 3 years - Experience with following technologies: - Understands and has executed integration of Google Cloud Speech API with R - Understands and has executed integration of Google Natural Language API with R - Experience of using googleLanguageR and an expert level knowledge of R less","Automatic Speech Recognition, Data Science, Google APIs,  ",NA,"$800+ ","3.45 Stars, based on 11 feedbacks","United States",NA,3.45,11
"2","Augmented analytics algorithm to deliver useful plain, english responses from analytics data.","https://www.upwork.com/job/Augmented-analytics-algorithm-deliver-useful-plain-english-responses-from-analytics-data_~01b4e5cd0bf5e31097/","Intermediate",NA,2019-06-14,"Build an algorithm that can analyze data from an analytics platform like Google Analytics and provide useful explanations of data in plain english. Algorithm will also provide recommendations based on the data analyzed. More information to be provided during interview. Currently have a primitive algorithm in place and will need to replace with a more automated AI focused process. This is not like a chatbot since there is no user inputs. Process queries analytics data, runs data through algorithm, produces translation of data in plain english and ""action items"" for client to perform based on data. Backend built in Python, utilizing django framework and angular frontend. Architecture built upon GCP using Gitlab, gitlab ci/cd and k8s. less","Python, AI, Algorithm Development, Algorithms, Angular,  ",NA,"$3k+ ","4.95 Stars, based on 8 feedbacks","United States",NA,4.95,8
"3","2 questions needs to be answered","https://www.upwork.com/job/questions-needs-answered_~014d33e6ed1fcc3e26/","Intermediate",15,2019-06-14,"Dimensionality Reduction, PCA, Decision Trees, Learning Approaches, Time Series, logistic regression with fused lasso penalties. 2 short questions need to be answered This job was posted from a mobile device, so please pardon any typos or any missing details. less","Artificial Neural Networks, Data Mining, Data Science,  ",NA,"$2k+ ","5.00 Stars, based on 2 feedbacks","Singapore",NA,5,2
"4","Data Scientist","https://www.upwork.com/job/Data-Scientist_~01a72bebcb052a5d41/","Intermediate",NA,2019-06-14,"We are preparing a document annotation project for a Machine Learning task in NLP. We are looking for a data scientist who can lead the annotation project. Tasks: - Prepare the labeling set - Document labeling policies for annotators - Manage iterat ... more","Data Science, Project Management",NA,"$200k+ ","5.00 Stars, based on 29 feedbacks","United States",NA,5,29
"5","Tensorflow, reinforcement learning","https://www.upwork.com/job/Tensorflow-reinforcement-learning_~01928c4278f641edf0/","Expert",90,2019-06-14,"Need to convert some tensorflow Reinforcement Learning code into this framework : Intel Coach This job was posted from a mobile device, so please pardon any typos or any missing details.","Artificial Intelligence, Artificial Neural Networks,  ",NA,"$2k+ ","4.50 Stars, based on 53 feedbacks","Japan",NA,4.5,53
"6","Two interim analyses for a clinical trial","https://www.upwork.com/job/Two-interim-analyses-for-clinical-trial_~011977146eb4596f3e/","Expert",NA,2019-06-14,"Support two interim analyses for a clinical trial This job was posted from a mobile device, so please pardon any typos or any missing details.","Biostatistics, Data Analytics, Data Science, SAS, ",NA,"$700+ ","No feedback yet","Poland",NA,NA,NA
"7","Need support to create word embedding (hybrid)","https://www.upwork.com/job/Need-support-create-word-embedding-hybrid_~0144d80d3f4454bab8/","Expert",40,2019-06-14,"Need support to add different embedding in a hirerachal manner to get better word representions. (Details will be shared during interview) Once we will get better representations (features) we need to feed this repsentations to different classical and neural network based classifiers for classification task. (Grid search optimization technique to be performed to get optimal parameters) Twitter datasets will be shared. Evaluation metrics : Accuracy, F1 score, precision and Recall. Any further questions can be answered at later stage This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Science, Machine Learning,   ",NA,"$30 ","No feedback yet","Australia",NA,NA,NA
"8","Helping in Sentiment Analysis Research","https://www.upwork.com/job/Helping-Sentiment-Analysis-Research_~01ab362b8b1c3f6fb5/","Intermediate",50,2019-06-13,"Looking for a data science researcher helping in guiding and programming. Contact FMD This job was posted from a mobile device, so please pardon any typos or any missing details.","Data Analytics, Data Science, Python, R",NA,"$10 ","No feedback yet","United Kingdom",NA,NA,NA
"9","Experienced data scientist who can facilitate workshops in the Data Science Master's Programme","https://www.upwork.com/job/Experienced-data-scientist-who-can-facilitate-workshops-the-Data-Science-Master-Programme_~017c00ae98471ac2c1/","Intermediate",NA,2019-06-13,"As European Leadership University offering a Data Science Master's Programme we are looking for Data Science Course Facilitators. As an ELU Data Science course facilitator, you will meet groups of students and facilitate their learning experience through online meet-ups over Zoom to help them master data science skills. The role is a great opportunity for experts in data science who has a desire to keep their skills sharp by developing others and would like to be part of a unique educational approach and a thriving community of talents, facilitators, mentors and sector leaders. Enablers • Proficiency in Python • Professional experience as a Data Scientist or in similar role • Previous training or mentorship experience • Alumni of Datacamp's Data Scientist with Python track • Experience with Python Data Science applications • Exposure to machine learning and data science tools and libraries such as pandas, Scikit-learn, Matplotlib and Seaborn • Good working knowledge of statistics and mathematical concepts • Excellent communication skills • Excellent command of English less","Python, Artificial Intelligence, Data Analytics, Data Science, ",NA,"$0 ","No feedback yet","Netherlands",NA,NA,NA
"10","Keras with tensorflow tutor instructor","https://www.upwork.com/job/Keras-with-tensorflow-tutor-instructor_~015190efcb5af9b912/","Intermediate",NA,2019-06-13,"Looking for a professional to create videos on keras and tensorflow. The videos should be created on different topics and subtopics, for each module. The targeted length of each video should be around 10 minutes. Please only apply if you're up for the challenge of recording videos of your technical skills. If you have already had a recorded video link please attach during your response Note: Must have good oral English skills Read Less Read Less This job was posted from a mobile device, so please pardon any typos or any missing details. less","Artificial Intelligence, Artificial Neural Networks,   ",NA,"$300+ ","5.00 Stars, based on 3 feedbacks","India",NA,5,3
