"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Google Ads and Bing Ads PPC Manager - Must be available until 1 pm PDT - Monday thru Thursday","https://www.upwork.com/job/Google-Ads-and-Bing-Ads-PPC-Manager-Must-available-until-PDT-Monday-thru-Thursday_~01189d76e5f5d371d1/","Intermediate",NA,2019-06-14,"We’re a fast growing advertising and marketing firm, and we’re looking for a freelance ad operations expert to help us manage paid search campaigns. The ideal candidate would both help us to build, manage, and optimize performance-focused campaigns. Ad Campaign Development - Research and generate keywords for paid search campaigns - Research and generate compelling text ad creatives - Structure and build campaign generators and upload sheets using spreadsheet software - Upload campaigns into paid search ad platforms - Google Ads and Microsoft Ads - Conduct competitive research to identify new opportunities Ad Campaign Optimization & Analytics - Through leveraging internal reporting systems and analysis techniques, manage and optimize high-volume, paid search campaigns to drive towards meeting client performance targets. - Develop, maintain, and monitor campaign analytics dashboards to manage campaigns and to provide insight for further optimizations - Evaluate and implement campaign optimization recommendations - Manage fraud and suspicious traffic from ad platforms to an acceptable level The initial engagement will range from 3-6 months but may likely be extended based on the candidate’s performance. Must be very skilled with Microsoft Excel and have good writing abilities for developing ad copy. Preference given to talent with prior experience in working with lead generation campaigns. Please include information that briefly describes your experience and explains why you would be an exceptional fit. Who You Are - Familiarity with web advertising (Google, Yahoo, Bing, and Facebook) - An analytical mind – degree in Statistics, Mathematics, Economics, Finance, Computer Science, related field OR demonstrated analytical and technical ability - 3+ years of quantitative experience with a focus on web analytics - Entrepreneurial mindset & sense of urgency and accountability - Proven track record of success and familiarity with online direct marketing - You have strong data analysis skills and an understanding of statistics - Dependable and reliable team player - Exceptional cross-functional collaboration skills, encompassing different timezones less",NA,3,"$0 ","No feedback yet","United States",NA,NA,NA
"2","Visual or Graphic Designer needed - Journey Map Design - Fixed price - Must have relevant experience","https://www.upwork.com/job/Visual-Graphic-Designer-needed-Journey-Map-Design-Fixed-price-Must-have-relevant-experience_~01d8f70ddc46be95b1/","Expert",1000,2019-06-14,"Background: I'm an independent user researcher working with a telecoms company to understand how they sell products. I'll be completing research in two weeks and will need the support of a visual designer to help visualise the findings within a cohesive deliverable. Potential for more work after this. Deliverable: A journey map (or three variations of the same TBC) depicting the user experience of buying a product online. It will ultimately be printed large format (A0 size or similar?) to put on the office wall. Your skills: - Must have strong visual design experience (3 years minimum) - Must have designed journey maps before and have real examples - Must be fluent in English, and happy to work on PST (west coast) timezone - Must be familiar with Sketch and/or Adobe suites Timeframe: - Kick off July 4th - Hard deadlines July 9th - Expect 3-4 review rounds, getting progressively easier (in theory!) Attached are some generic examples of what I expect. Similar amount of information and size. less","Infographics, Adobe InDesign, Adobe Photoshop, Minimal, Corporate, ",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"3","Simple R graph for conservation biology publication","https://www.upwork.com/job/Simple-graph-for-conservation-biology-publication_~018472d344c002b4f4/","Intermediate",NA,2019-06-14,"Deliverable - R Graph of activity patterns (diurnal, nocturnal, crepuscular) of 4 feline species camera trapped using our Excel data. Would like to create something similar to the hand-drawn graph attached or the attached R graph. We have limited R e ... more","Excel, R",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"4","Business Plan, Financial Analysis & Modeling for a blockchain project","https://www.upwork.com/job/Business-Plan-Financial-Analysis-amp-Modeling-for-blockchain-project_~0123d87508e1091466/","Intermediate",25,2019-06-14,"I am finding someone to write a business plan for my blockchain project. A person will have to do some background research for the project and its opportunity with facts and figures and infographs. Short presentation & pitch deck.","Business Planning, Financial Analysis, Mathematics, Presentations,  ",NA,"$0 ","No feedback yet","India",NA,NA,NA
"5","Analysis of clinical data","https://www.upwork.com/job/Analysis-clinical-data_~016e077c31096fb0b4/","Entrylevel",NA,2019-06-14,"Statistical analysis of clinical data. Data is retrospective observational. Analysis is pretty straightforward. It will analyze patient labs (mainly white blood cell counts and simple ratios combining different counts) and outcomes (complications, s ... more","IBM SPSS",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"6","Ongoing Virtual Assistant - Marketing Assistant","https://www.upwork.com/job/Ongoing-Virtual-Assistant-Marketing-Assistant_~01a40eb7594b75f10c/","Entrylevel",NA,2019-06-14,"I am looking for someone to use on ongoing basis, not sure how many hours, but will be up and down. Looking for long term. MUST be 100% fluent in written English. Grammar, syntax, punctuation - some items being done are for clients and cannot accept any errors on these communications. MUST be available 9am-5pm Monday to Friday EST for items - some items can be completed at other times as long as by due date. Items: - assistance with mailchimp campaigns (formatting, entering text, image editing, etc) - minor image editing, creating simple graphics for web ads, etc - quickbooks - entering expenses and data with high level of accuracy - assistance with emails and scheduling - client communication - high level of english accuracy and professionalism - would be good to have some experience with wordpress management - entering text, updating banners, etc - research and sourcing - finding articles on topic, doing research to find supporting points and statistics for topics given - sourcing - finding good software or vendor for item needed - list building - must be able to enter data into spreadsheets from sources provided - experience with buffer would be good, but not mandatory - but may want help curating social content, posting items, etc - other tasks that may come up here and there As things grow, might also want help answering incoming calls, but this will not be right away. less","Data Entry, Communication, Virtual",NA,"$80k+ ","4.96 Stars, based on 124 feedbacks","Canada",NA,4.96,124
"7","I need consultation for reviewing and editing a research paper","https://www.upwork.com/job/need-consultation-for-reviewing-and-editing-research-paper_~010c7c6e0980731e21/","Intermediate",NA,2019-06-14,"Hello I have a research paper that it is written already but I need the following: Proofreading and editing Reviewing the statistical analysis used Suggestion for the abstract and graphical abstract Journal selection The field of the study is regard ... more","Journal Article",NA,"$100 ","5.00 Stars, based on 1 feedback","Saudi Arabia",NA,5,1
"8","2 questions needs to be answered","https://www.upwork.com/job/questions-needs-answered_~014d33e6ed1fcc3e26/","Intermediate",15,2019-06-14,"Dimensionality Reduction, PCA, Decision Trees, Learning Approaches, Time Series, logistic regression with fused lasso penalties. 2 short questions need to be answered This job was posted from a mobile device, so please pardon any typos or any missing details. less","Artificial Neural Networks, Data Mining, Data Science,  ",NA,"$2k+ ","5.00 Stars, based on 2 feedbacks","Singapore",NA,5,2
"9","IoT Dashboards - open source.","https://www.upwork.com/job/IoT-Dashboards-open-source_~01501af6f9d1f77ea0/","Expert",NA,2019-06-14,"We are looking for a person or team who can be part of developing Cloud Native business analytics (Internet of Things) dashboards for our customers. We are looking for someone with a strong technical frontend foundation to design and build analytics dashboards for our customers together with skilled colleagues. The first applications to be built are within the fast-growing Internet of Things (‘IoT’) space. You will create the platform that holds the data for our client’s applications and analytics. You will work with a dedicated team of senior data engineers, data scientists, and consultants. Given the size of the company, you will play a central role in growing the company in the coming years. At Flowtale we think that front-end developers need to have a holistic view of the architecture of the software that you and our team are creating. As a front-end developer it is important that you can’t silo yourself on the Front-End, but need to have an appreciation for the complexities of the Back-End as well in order to create the best user experience for our customers. In the end, it's about continual learning and team communication, as well as listening to the customer to create a great experience. We are seeking a dedicated, proactive and highly motivated team player with strong technical front-end skills and a solid analytical understanding and experience within the area of business analytics. Needed experience and skills: • Strong experience in data visualisation • Experience working with dashboards and KPIs • Good Understanding of time series data and both relational and NoSQL databases • Understanding d3.js, JavaScript/jQuery, HTML, CSS • Version control/Git Desirable experience and skills: • Experience with cloud platforms like, AWS, Azure and Google Cloud • Version control/Git • Responsive design • Testing, debugging and the use of continuous integration pipelines • Browser developer tools • Command line scripts and tools • Python and/or any other high level programming languages • Frameworks like Angular and Django • Some understanding of statistics • Containerization frameworks like Docker and Kubernetes Qualifications: • Proven experience and understanding of IoT concepts, principals and frameworks • Strong front-end aptitude with a deep understanding of custom build dashboard services • Comfortability in communication and presentation skills in English • Ability to convey messages to non-analytical stakeholders • Comfortable working with a variety of different data sources and tools • Proven experience and understanding in common visualization and software development practices less","d3.js, Bookeh, ggplot",NA,"$30k+ ","5.00 Stars, based on 22 feedbacks","Denmark",NA,5,22
"10","Editor with a background in medicine and biology","https://www.upwork.com/job/Editor-with-background-medicine-and-biology_~0180f67ab9bc8c4010/","Expert",NA,2019-06-14,"I am looking for an editor for my book. It is a BIG book of medicine / biology. I need someone with a strong background in basic medical sciences / biology who can dedicate a big block of time for this project (2-4month). My editor needs to be someo ... more","Academic Writing, Editing",NA,"$0 ","No feedback yet","United States",NA,NA,NA
