"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Need Levey Jennings chart template created in Excel","https://www.upwork.com/job/Need-Levey-Jennings-chart-template-created-Excel_~01cefe4096092eae0a/","Expert",50,2019-06-13,"I need someone to create an Excel template described here: http://www.bioline.org.br/request?mb11114 And have it look like the chart in the attached, but I can modify the labels as much as I need to. Another good example is here, but I can't get it ... more","Microsoft Excel",NA,"$800+ ","5.00 Stars, based on 13 feedbacks","United States",NA,5,13
"2","Analysis of Data on SPSS","https://www.upwork.com/job/Analysis-Data-SPSS_~018f5e9ed58c4f8999/","Expert",100,2019-06-13,"Hi, I need help analysing data on SPSS. I conducted an experiment in which participants had to fill in a PANAS questionnaire. I need to do a component analysis and a reliability analysis. I also need to do either a T-Test or an ANOVA to see if there is a relationship between the variables. I need someone who has experience in SPSS. less","IBM SPSS",NA,"$0 ","No feedback yet","France",NA,NA,NA
"3","Looking for Data Analyst to manage simple data from IoT sensors","https://www.upwork.com/job/Looking-for-Data-Analyst-manage-simple-data-from-IoT-sensors_~014f7ca0f1c5f7a1cb/","Entrylevel",NA,2019-06-13,"We are looking for someone to be in charge of monitoring sensors from the web dashboard to ensure they are displaying data to our customers and deliver weekly reports on what sensors are down. We are looking for someone to commit 5-7 hours per week on this. less","Microsoft Excel",NA,"$7k+ ","4.98 Stars, based on 25 feedbacks","Canada",NA,4.98,25
"4","Quick Analytics and Search Console Screenshare Consultation to Identify Issues for Traffic Decrease","https://www.upwork.com/job/Quick-Analytics-and-Search-Console-Screenshare-Consultation-Identify-Issues-for-Traffic-Decrease_~016c0e2ab8522a7540/","Expert",NA,2019-06-13,"I would like to meet with an expert who can review my Google analytics and Search Console accounts via screen share in real time. I have had a traffic dropoff in the past month after a change in WordPress themes. Most of the traffic lost appears to be Organic Search. I want to figure out the reasons for decrease in Organic Search. I need someone to quickly look at the page HTML and figure out the issues. I likely will be able to fix the issues on my own after the expert freelancer helps me identify them. less","Google Analytics, Google Search Console, SEO Auditing",NA,"$4k+ ","5.00 Stars, based on 18 feedbacks","United States",NA,5,18
"5","Regression Sales Forecasting","https://www.upwork.com/job/Regression-Sales-Forecasting_~017b62ddbb7ab0945b/","Intermediate",NA,2019-06-13,"We would like to create a model to forecast sales and units sold and choose independent variables to be able to do this accurately. We will provide a sample data set that will allow model creation.","Microsoft Excel, R",NA,"$3k+ ","5.00 Stars, based on 23 feedbacks","United States",NA,5,23
"6","Zoho Analytics Reporting Dashboards","https://www.upwork.com/job/Zoho-Analytics-Reporting-Dashboards_~011b765855fe08ef74/","Entrylevel",NA,2019-06-13,"I need someone who has EXTENSIVE experience with Zoho analytics that can setup our analytics platform to be able to show real time reporting. Must have 3+ years experience with Zoho analytics.",NA,NA,"$1k+ ","5.00 Stars, based on 12 feedbacks","United States",NA,5,12
"7","Tableau expert required to train our team how to connect DB and automate uploads","https://www.upwork.com/job/Tableau-expert-required-train-our-team-how-connect-and-automate-uploads_~01a3b29d8a76ce42bf/","Entrylevel",NA,2019-06-13,"We have a basic Tableau environment set-up and we require an expert to help us connect DB and other advanced set-up questions. Initially we require 1 hour and the output would be our databases are connected and automatically updates. This can turn into a longer term project. less",NA,NA,"$4k+ ","5.00 Stars, based on 44 feedbacks","United Kingdom",NA,5,44
"8","Polygon mapping tool","https://www.upwork.com/job/Polygon-mapping-tool_~0179ef6deca8a4761f/","Intermediate",NA,2019-06-13,"I need a mapping tool that works with Google that would allow me to draw custom polygons and save that data to a database.",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"9","R Expert needed to forecast forest growth data","https://www.upwork.com/job/Expert-needed-forecast-forest-growth-data_~01cf705249538ceea2/","Expert",110,2019-06-13,"Searching for R Expert to forecast forest growth data using non-linear mixed effects models. Interested in someone willing to be creative to solve the challenge. I am willing to add an extra 40 USD to anyone who successfully fits a model that reasona ... more","R",NA,"$300+ ","4.99 Stars, based on 10 feedbacks","United Kingdom",NA,4.99,10
"10","Google Analytics Expert - short contract","https://www.upwork.com/job/Google-Analytics-Expert-short-contract_~01bf9856f60b86474e/","Expert",200,2019-06-13,"FanShare Sports needs to build a user-friendly dashboard in order that site admins can easily track: Weekly site visitors (new and returning / registered users) Conversion rate of new visitors to registered user Conversion of registered users to paying subscribers (breakdown of weekly, monthly, and annual subscription) Average transaction value less","Google Analytics",NA,"$70k+ ","5.00 Stars, based on 1 feedback","Canada",NA,5,1
