"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Writing a blog article about Facebook ads and the importance of it.","https://www.upwork.com/job/Writing-blog-article-about-Facebook-ads-and-the-importance_~01b32fe0af283335d4/","Entrylevel","5","2019-06-13","We need an article about facebook ads and the effectiveness of it. We need statistics and pictures of stats included the blog should be 1 to 2 pages long. We will use it on our own website. So you are a ghost writer for me. example: https://www.impactbnd.com/blog/how-effective-is-facebook-advertising-the-truth-about-facebook-roi less","Facebook Marketing, Retargeting",NA,"$0 ","No feedback yet","Belgium",NA,NA,NA
"2","Quick English to Portuguese SEO keyword translation","https://www.upwork.com/job/Quick-English-Portuguese-SEO-keyword-translation_~01f1ad18512462244f/","Intermediate","10","2019-06-13","I have a very quick job for someone skilled in SEO keyword research, you can expect quick payment and a glowing review if you can help me out, tomorrow at the latest (14 June). I have five travel-compensation related keywords in English that i need ... more","English, SEO Auditing",NA,"$0 ","No feedback yet","Lithuania",NA,NA,NA
"3","Remote Sales Rep | Dedicated Inside Sales | B2B Advertising Sales","https://www.upwork.com/job/Remote-Sales-Rep-Dedicated-Inside-Sales-B2B-Advertising-Sales_~01bc19b70dd1f46fbf/","Expert",NA,"2019-06-13","Hello, We're looking for creative and dynamic ad sale professionals to join our team. CHARGED is the leading B2B magazine, website and news feed for the electric and hybrid vehicle industry. CHARGED readers are key decision makers throughout the EV industry: from small start-ups to the biggest automakers. Headquartered in Saint Petersburg, Florida, we're seeking additions to our print and digital ad sales team. The vast majority of the business is done via phone and email. Some travel is optional to attend trade shows around North America and Europe. Candidates must be willing to learn quickly, with an entrepreneurial spirit and high energy to drive results. A self-starter and ability to work independently is a requirement. The electric vehicle industry is one of the most exciting and fastest growing sectors in the world. Apply to learn more about our position in the industry and plans for growth. Qualifications: Previous experience in sales, customer service, or related field is preferred Marketing or advertising experience is helpful but not required Strong self-starter qualities with an entrepreneurial spirit Ability to build rapport with clients Responsibilities: Oversee and coordinate sales activities Manage sales territories, quotas, and goals for the sales team Analyze sales statistics to identify areas of improvement Track results and trends regularly for business forecasting Report on team and individual performance Develop and execute innovative sales strategies Build and form new partnerships with potential clients less","Cold Calling, Email Handling, Web Research, Appointments,  ","2","$10k+ ","4.80 Stars, based on 44 feedbacks","United States",NA,"4.80","44"
"4","Find the person's email who can add my link to their page.","https://www.upwork.com/job/Find-the-person-email-who-can-add-link-their-page_~0183aa9b8e00f10de1/","Intermediate","500","2019-06-13","I need you to navigate to a URL (using a web-based system that I provide) and find the email that I will need to contact in order to get a link added to their page. The exact instructions (which I will provide upon hire) are also listyed at the bottom of this post. I will provide the website I am asking them to link to in the web-based interface. If the page is not valid (ie, it is not appropriate to ask for a link on the page to my website) - mark it as 'Not Valid.' I will pay you $1 for every email you find (I will be checking accuracy of the emails you submit). I just need you to try and find the right email. I will also pay $0.10 for every page you mark as 'Not Valid' since this task typically takes a small fraction of the time to determine if the page isn't valid. See attached screenshot of the web-based interface that I will provide to you. You will have a login and can do this work anytime you'd like. I keep track of statistics like how many emails you've completed per week so you know how much to bill me for. For example, if the URL I give you is this: https://www2.ewu.edu/cstem/departments/mathematics/math-degrees/careers-in-mathematics Then you would provide me the email 'mgrant@ewu.edu' (you can see it listed at the bottom-left of the page) because that is the faculty member who maintains it. You should NOT provide me a boilerplate webmaster email for wustl.edu. I want the specific email for the specific person that maintains that specific page or group of pages. I can afford to pay up to $500 per week ($2,000 per month) to start with, and can either increase or decrease volume based on the results of what you give me. EXACT INSTRUCTIONS: 2. Navigate (left click) to each url that you are presented with 3. If no email exists, the URL does not work, or the page is not in English, then click 'Not Valid' - otherwise, proceed to step 4. 4. Determine whether or not this page is appropriate to ask for a link to be placed on it to my site (you have this information in your main 'list' page). If it's not relevant to ask for a link on, then go back to the Sitedial window, and click 'Not Valid.' If the URL is relevant to ask for a link to be placed going back to my site, then proceed to step 5. 5. Visit the URL and click around the website if needed to find the email address of the person that would update and add a link to the specific webpage, or - if unavailable - the website's general webmaster. If neither of those is present, try and find a general contact email for the site, and if that is also not present, 6. You can also use site queries in Google to try and find the webmaster, such as ""site:example.com webmaster"" or “example.com contact” 7. When you find the email, record the email address into the textbox underneath the URL back on the Sitedial page (please note, we use email validation to determine is an email exists & is active, so if the email does not exist - you will be flagged to try another email) 5. If no email exists, and you cannot find it, simply leave the box blank click 'Not Found' Thank you! less","Link Building, SEO Backlinks, Data Entry,  ",NA,"$20k+ ","4.96 Stars, based on 39 feedbacks","United States",NA,"4.96","39"
"5","Quantitative Finance or Financial Engineering professional needed to Build an Anomaly detection Algo","https://www.upwork.com/job/Quantitative-Finance-Financial-Engineering-professional-needed-Build-Anomaly-detection-Algo_~01983fbda02a8afba2/","Expert","300","2019-06-13","I need to build a time series analysis model for a universe of assets. It needs to be able to run variance analysis and filter the stocks with constant variance...and then spit out a principal component analysis x and y plot catagorising the assets w ... more","Financial Analysis, Mathematics, MATLAB, Statistics,  ",NA,"$0 ","No feedback yet","Singapore",NA,NA,NA
"6","Testing developer needed for creating a responsive WordPress Theme","https://www.upwork.com/job/Testing-developer-needed-for-creating-responsive-WordPress-Theme_~015c443cadfe94e810/","Intermediate",NA,"2019-06-13","Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities less",NA,NA,"$0 ","No feedback yet","Brazil",NA,NA,NA
"7","Amazon Seller Software Program Created","https://www.upwork.com/job/Amazon-Seller-Software-Program-Created_~018d4cc17d1c6b7067/","Entrylevel","400","2019-06-13","Here is what I need. This can be between chrome extension and web tool. 1) Keyword research tool - It pulls auto suggested keywords from search bar into one spreadsheet. So basically type in a keyword and then a letters A-Z and then pulls the keywords that show for each letter after main keyword. Then once it has that list, it does the same things will all keywords with A-Z to find the rest (Amazon, Google, Bing, YouTube, Ebay, Play Store) 2) ASIN and BSR tool - Shows ASIN and BSR on Amazon when searching for something. It shows this on search results, product page, and category / best seller page 3) Tool that alerts for any changes in: Title, Bullet Points, Price, Description, Pictures, Product Variations, Product Weight Changes (Email, SMS or Telegram) This is for own product and competitors 4) A tool that pulls all important statistics from Seller Central and Amazon Account into one easy place and sends daily/weekly totals to (Email, SMS, Telegram) 5) Price and BSR tracker with graph for own product and competitors 6) Keyword tracking - add keywords and see rankings for each keyword for product. Keeps graph of positions. You can add different produts and see 7) BSR changes alerts - send (Email, SMS, Telegram) when change in BSR 8) Duplicate word remover - Put any text into tool and it removes any word that is duplicate - Then it scans listing and tell you what words have not been used 9) Product Review and Seller feedback alerts - Send (Email, SMS or Telegram) whenever new review or feedback shows less",NA,NA,"$5k+ ","4.99 Stars, based on 136 feedbacks","United States",NA,"4.99","136"
"8","Full stack developer needed for HR System","https://www.upwork.com/job/Full-stack-developer-needed-for-System_~0182f1e2776bcc46ae/","Expert",NA,"2019-06-13","Develop front and back-end of a new could-based multi-account HR system. A user must be able to access and manage their own private company account within the software. We look to https://factorialhr.com/ as an example of our end product. Starting with an open-source solution like OrangeHRM and customizing the core is also an option for someone with knowledge of that system. Modules include: Onboarding Module: - Create employee profiles - Creating and editing onboarding tasks - Assigning onboarding tasks to employees - Tracking onboardings tasks - Task management dashboard Performance Tracking Module Goal tracking Performance feedback Generating reports about employees’ performance (detailed transcripts of achievements), overall company performance and more Benefits Management Module - Adding benefit plans - Sharing benefit plans with employees - Generating reports about amount of benefits per employee, monthly benefit expenditures, etc. - Statistics dashboard Training Module: - Lists of trainings - Scheduling trainings - Tracking employee training progress - Events calendar - Application system for trainings - Document management Payroll Module: - Payroll tracking - Request management (sick leave, time off, vacation) - Work hours tracking - Compensation and benefit plans - Payroll notifications - Generation of payment reports and paychecks - Payroll dashboard for employees We are looking for an experienced freelancer (or perhaps group of freelancers) to build and maintain this software. You must be able to: - Meet deadlines and have excellent communication skills - Create wireframes to help decide on layout - Run functionality testings and debug code - Expert understanding of best security practices - Give formal and informal internal presentations keeping teams up to date on latest development options less",NA,NA,"$600+ ","No feedback yet","Canada",NA,NA,NA
"9","Excel/VBA- Linear Programming-Creating Shifts","https://www.upwork.com/job/Excel-VBA-Linear-Programming-Creating-Shifts_~0190134ac2d312a136/","Expert","100","2019-06-13","Need an Excel Based automated system that creates shift combinations based on the following constraints (not limited to) 1. Part time & Full time employees 2. Staff availability 3. Half hourly interval requirement - 12 hours operation (8am-8pm) 4. Ranking/priority - subjective and performance based 5. Day offs 6. Morning shift - mid - late, bi-monthly rotations Goal is to make sure that we have the required number of heads per interval while optimising the number of part time hours This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Excel VBA, Linear Programming,  ",NA,"$200+ ","5.00 Stars, based on 8 feedbacks","Australia",NA,"5.00","8"
"10","Agricultural Economics: Thesis about Food imports and food security in Mozambique","https://www.upwork.com/job/Agricultural-Economics-Thesis-about-Food-imports-and-food-security-Mozambique_~01a7e82e38c26adf21/","Entrylevel",NA,"2019-06-13","I need someone who really knows about Agricultural Economics. In fact, we can work together I would need help for some data entry and some statistical analysis. Since I'm just starting this thesis project, I would like to have some help to clearly state the research questions and methodology (which indicators to use). The initial question of the research was ""The trend in food imports still increasing in Sub-Saharan Africa? Please look at this site: https://ilsi.org/wp-content/uploads/2017/01/1_Tschirley_Urbanization-food-systems-and-the-diet.pdf see slide number 20, the research would like to reply a similar analysis in many countries or just focus on Mozambique and go with furthers topics. less","Academic Writing",NA,"$0 ","No feedback yet","Germany",NA,NA,NA
