"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Social Media Campaign","https://www.upwork.com/job/Social-Media-Campaign_~014f8f6ec13782de1a/","Entrylevel",300,2019-07-03,"I need Someone who understands Facebook Business manager, advertising, on FB, Instagram and twitter. Content will be provided. Fluent in English is preferred.","Ad Tagging, Advertising networks, Campaign Analysis, ",NA,"$400+ ","4.91 Stars, based on 2 feedbacks","United States",NA,4.91,2
"2","Website Development for Squarespace","https://www.upwork.com/job/Website-Development-for-Squarespace_~010e3d9e63ff7cb5c7/","Intermediate",300,2019-07-03,"Hey All, Would like to create a 3-page website on Squarespace. Very simple, it deals with hospitality. Please send over some of the work you have done on Squarespace. <U+274F> Design: <U+274F> Logo & Branding elements <U+274F> Color schemes <U+274F> Font Types <U+274F> CTA’s: <U+274F> ... more","Adobe Photoshop, Adobe XD, SquareSpace, User Flows",NA,"$2k ","No feedback yet","United States",NA,NA,NA
"3","3001 English to Norwegian Translation 4as8d4f2g6h9","https://www.upwork.com/job/3001-English-Norwegian-Translation-4as8d4f2g6h9_~015b87514b38770b41/","Intermediate",18,2019-07-03,"I need a hand with a translation of 2 landing pages from English to Norwegian. 600 words in total. Price is negotiable.",NA,NA,"$600k+ ","4.81 Stars, based on 3690 feedbacks","Estonia",NA,4.81,3690
"4","Facebook Ads Conversions Expert for Ongoing Work with a Professional, Fun Team","https://www.upwork.com/job/Facebook-Ads-Conversions-Expert-for-Ongoing-Work-with-Professional-Fun-Team_~010e830ddab87eaa8b/","Expert",NA,2019-07-03,"Hi there! I'm working with several enterprise clients to increase their sales and scale their stores on Shopify and Shopify Plus. To take these businesses to the next level, I'm looking for a Facebook funnels EXPERT with proven, documented results of ... more","Facebook Marketing, Instagram Marketing",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"5","Revolution Squarespace site","https://www.upwork.com/job/Revolution-Squarespace-site_~0153f4adc88b35ef27/","Intermediate",NA,2019-07-03,"Looking to have someone to develop new pages in line with our theme.","SquareSpace",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"6","Skilled Ionic and Node.js mobile app developer needed","https://www.upwork.com/job/Skilled-Ionic-and-Node-mobile-app-developer-needed_~0192d4b879b77b893b/","Intermediate",50,2019-07-03,"I need a skilled Ionic mobile app developer (with node.js experience to work with the backend) for a few tasks on an existing mobile app that includes but not limited to: 1. improve front-end of the app 2. optimize the image upload functionality 3. upload some things on the magazine 4. improve the search functionality 5. wrap the app up when everything is done, test and then deploy on android. IOS deployement will be handled by me newbies on Upwork who have the required skills necessary and are looking for a project to help develop their profile are welcome. If this is completed perfectly, you'll be awarded further bigger projects. less","Ionic Framework, Android, iOS, Windows",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"7","Recruiter/ Sourcer Needed","https://www.upwork.com/job/Recruiter-Sourcer-Needed_~010104853105aa270f/","Intermediate",NA,2019-07-03,"I am looking for a experienced sourcer. You must have experience sourcing Data Science, Analytics, and Tech Candidates via LinkedIn and other platforms. Must be able to start today or at the least tomorrow. *LinkedIn Recruiter Lite account needed. This job was posted from a mobile device, so please pardon any typos or any missing details. less","Internet Research, LinkedIn Recruiting, Recruiting,  ",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"8","Real Estate article for information packet","https://www.upwork.com/job/Real-Estate-article-for-information-packet_~0186f7b2bd35723382/","Intermediate",100,2019-07-03,"I'm looking for a re-write of an article to introduce the ""repair calculator"" we've created. We're a private homebuyer that buys homes of all sizes and in any condition. This piece is to give prospects an idea of how much money it would cost to repai ... more","Market Analysis",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"9","Experienced QuickBooks and bookkeeping needed - we are located in Canada","https://www.upwork.com/job/Experienced-QuickBooks-and-bookkeeping-needed-are-located-Canada_~016cbcfcd2794f813f/","Intermediate",NA,2019-07-03,"About us: We are a commercial cleaning company operating in Quebec. We need help with bookkeeping. We rather have a candidate that is already experienced and knows the system in and out. Being very good at numbers when it comes to cost analysis is a must. We need freelance bookkeeper expertise in payroll, accounts receivable, and filing monthly taxes. Services and deliverables: - Send invoices and keep track of monthly accounts receivable - Handle bimonthly payroll obligations - Complete monthly state and federal tax forms Special requirements for this project: - Expertise in accounting area such as payroll, accounts receivable, cost analysis - Knowledge of accounting specialization with Canadian laws, such as federal and state tax codes for withholding, sales tax, etc. - Experience with QuickBooks accounting software, - Certification from {major bookkeeping associations, etc.} In your proposal, please provide a short description of your bookkeeping business and why we should consider you. Also tell us about another client and how your skills made an impact on that business. less",NA,NA,"$400+ ","5.00 Stars, based on 2 feedbacks","Canada",NA,5,2
"10","Help Update a Wordpress Widget / Plugin","https://www.upwork.com/job/Help-Update-Wordpress-Widget-Plugin_~01b050da15f696af82/","Intermediate",50,2019-07-03,"My website runs on the Zuhaus - Real Estate Theme by Mikado-Themes and WPBakery Page Builder. I need to change Post Grid template to customize it to my specifications, which are very basic (e.g. convert title text into a hyperlink and add a short d ... more","WordPress, Blog, PHP",NA,"$5k+ ","4.91 Stars, based on 20 feedbacks","United States",NA,4.91,20
