"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","SPSS data analysis and description","https://www.upwork.com/job/SPSS-data-analysis-and-description_~0172fc4bd2b77221ac/","Expert",15,2019-06-18,"Hello! I'm looking for a skilled statistics professional with deep SPSS knowledge to analyze some data and give me the results. The essay is not something special, it won't take more than a couple hours.","IBM SPSS",NA,"$30 ","5.00 Stars, based on 1 feedback","Greece",NA,5,1
"2","Predictive Analysis for Renal Patients","https://www.upwork.com/job/Predictive-Analysis-for-Renal-Patients_~01493083f98c7656f5/","Intermediate",NA,2019-06-18,"I am trying to build a program for our medical practice where we gather the risk factors and predict the risk of kidney failure. I need help with graphic designs and reporting. AI analytics is also possible here but an expert with predictive analysis will be the best for this job. This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Statistics",NA,"$2k+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"3","Operations Business Analyst","https://www.upwork.com/job/Operations-Business-Analyst_~01dc6c110b54a93010/","Intermediate",NA,2019-06-18,"Job Description: - Responsible for requirement gathering - Data acquisition, analysis, and reporting Job Responsibilities: - Ensure that complex business requirements are accurately captured, documented, communicated, and accurately implemented. - ... more","Data Analytics, Microsoft Excel, Quantitative Analysis, ",2,"$100M+ ","4.96 Stars, based on 3884 feedbacks","United States","Enterprise",4.96,3884
"4","Stock-Related Statistic Research needed","https://www.upwork.com/job/Stock-Related-Statistic-Research-needed_~012ab6b584d8cf9dfe/","Expert",1000,2019-06-18,"Hello, I am looking to conduct research on Stock Options and determine if there is a relationship that can be used as a potential options trading strategy. The information I am looking to find is: 1) What is the relationship between big-name hedge ... more",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"5","Marketing data deep learning and analytics.","https://www.upwork.com/job/Marketing-data-deep-learning-and-analytics_~01b9a076293ef562d6/","Expert",NA,2019-06-18,"Seeking highly skilled data scientist to validate an approach to analyzing digital marketing touch points focused on extracting actionable data to be used by sales and marketing team to help them improve their efficiency and effectiveness. Before sta ... more","Data Analytics, Data Science, Mathematics, R, ",NA,"$6+ ","5.00 Stars, based on 1 feedback","United States",NA,5,1
"6","Digital Data Mining and Marketing Researcher Wanted","https://www.upwork.com/job/Digital-Data-Mining-and-Marketing-Researcher-Wanted_~0186896d0575ed54f5/","Entrylevel",50,2019-06-18,"We are currently seeking a detail-oriented professional with strong research and data entry skills. The digital marketing researcher will help us find industry data, statistics, white papers, articles, etc. from reputable sources. The successful candidate must be proficient with internet search engines, searching techniques, and using the Microsoft Office Suite (Excel) to input and organize data. If goes well, we will do the same for other topics that will be indicated. less","Data Mining, Data Scraping, Internet Research, ",2,"$100k+ ","4.48 Stars, based on 149 feedbacks","United States",NA,4.48,149
"7","Social media manager needed for driving blog traffic via Pinterest and Tailwind","https://www.upwork.com/job/Social-media-manager-needed-for-driving-blog-traffic-via-Pinterest-and-Tailwind_~0167affebb26d7c48f/","Intermediate",NA,2019-06-18,"I'm looking for an experienced social media marketer / virtual assistant to manage my personal development blog's Pinterest via manual pinning and Tailwind Tribes. I want to drive more traffic to the blog and so far I've been doing it alone. I want t ... more","Pinterest Marketing, Social Media Content, Organic Traffic Growth",NA,"$60 ","5.00 Stars, based on 1 feedback","Netherlands",NA,5,1
"8","New Angular6/Laravel Website Performance Optimization (GtMetric, Google PageSpeed, Pingdom)","https://www.upwork.com/job/New-Angular6-Laravel-Website-Performance-Optimization-GtMetric-Google-PageSpeed-Pingdom_~01ff3bbc86eccac78b/","Expert",200,2019-06-18,"Website Performance Enhancement (GtMetric, Google PageSpeed, Pingdom) I have a web project in Angular V6 & Laravel. Website Performance need to be Enhanced as per the statistics from (GtMetric, Google PageSpeed, Pingdom) You will work on gitlab Provide your plan in a pdf before submitting the bid Previous similar work should be done Check Attached less",NA,NA,"$100+ ","5.00 Stars, based on 2 feedbacks","Egypt",NA,5,2
"9","New to improve our site design and add some features","https://www.upwork.com/job/New-improve-our-site-design-and-add-some-features_~01b80567e647ac1c7f/","Intermediate",140,2019-06-18,"Looking for a highly skilled web developer and designer to update our website and give it a fleshier look and make it beautiful. The website is wroten in PHP, JS, CSS and HTML so we are not looking for just WordPress developer. High skills and experience with mySQL database, web design, PHP, JS, CSS, HTML, knowledge in bootstrap/working with known templates. Priority to someone with Photoshop/Illustrator knowledge is mandatory. We need fully rebuild/redesign out website: https://ironmax.tech/ If you see the link for the website that means that the below features will be similar to choose on site Ironmax site changes: 1) All the pages should be connected into one, except for privacy policy for the site & terms of use for site, privacy policy for the apps (3 apps) & terms of use for apps(3). So when clicked on one of the tabs it will scrolled down to the required info 2) Terms of use & Privacy Policy should be separated to the separate pages 3) Loading Animation should be added When moving between the webpages also on the first site loading ------------------------------------------------------------------------------------------------------ http://www.vsdigital.com/EN/index.aspx : 4) Login + request for demo in popup (including animation). When request demo done it should be send to our email. Adding Google check with images recognition that it’s not robot to the login 5) Moving slides on the top (automatically moving slides + by swiping + pushing the circle in the bottom + 2 arrows) 6) Our Service (with boxes) ------------------------------------------------------------------------------------------------------ https://www.qrpatrol.com/ : 7) QR-Patrol in numbers! (boxes instead of lines) 8) Products description Manual (boxes with products) (https://www.qrpatrol.com/web-application) Each box animated when hovering over ------------------------------------------------------------------------------------------------------ https://www.saasi.co/index.html 9) Frequently Asked Questions 10) Reviews of the clients ------------------------------------------------------------------------------------------------------ http://wizelink.com/#/top : 11) Arrows going to the top of the page https://cloud.mongodb.com/user?nStitch=https%3A%2F%2Fstitch.mongodb.com%2F#/atlas/login : 12) Send email round floating button with email logo (like mongo) in right/bottom corner Before sending the email add Google ReCaptcha check recognition that it’s not robot ------------------------------------------------------------------------------------------------------ 13) about us page text should be replaced with the new one 14) Presentation video from YouTube should be placed on website 15) Moving statistics numbers how many barcodes are scanned, patrols have been done, how many clients do we have 16) Users guide for all the apps (made as a book) 17) Flags when choosing the country (should be made better) 18) All the strings should be in one place & you need show us how to add the new country Strings if needed 19) We would prefer to give this project to someone who can improve our site even more than all the above points less","CSS, HTML, MS SQL, JavaScript, PHP",NA,"$100+ ","5.00 Stars, based on 2 feedbacks","Israel",NA,5,2
"10","Django/Python developer","https://www.upwork.com/job/Django-Python-developer_~013eee05e000437257/","Intermediate",NA,2019-06-18,"We are looking for a talented full-stack Python/Django developer who can build database/statistic web application. The first version will be a simplified POC version with some data collection as well. Further features will be implemented in later stages, preferably with same engineer. Please provide relevant references. less","Django, Python",NA,"$900+ ","4.76 Stars, based on 2 feedbacks","Denmark",NA,4.76,2
"11","Betfair data mining and analysis","https://www.upwork.com/job/Betfair-data-mining-and-analysis_~01f24d9fce5c910287/","Intermediate",NA,2019-06-18,"I'm looking for a method or program by which a (non-programmer) Windows PC user (me) can download Betfair data files and extract the information I am looking for. This request is to extract from the free Betfair data available. I'll then use this project to decide if I should subscribe to the Betfair historical data service. Data Source - compressed tar file (BZ2) of json format. Output - I am looking for a breakdown of starting prices and win % of different locations around Australia I'd like a csv or Excel file with the columns - Place ; Date ; Time ; Place ; Race Description ; Name of runner ; Betfair Starting Price ; outcome ; This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Data Science, Excel VBA, IBM SPSS,   ",NA,"$4k+ ","5.00 Stars, based on 9 feedbacks","Australia",NA,5,9
