"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Quick English to Portuguese SEO keyword translation","https://www.upwork.com/job/Quick-English-Portuguese-SEO-keyword-translation_~01f1ad18512462244f/","Intermediate",10,2019-06-13,"I have a very quick job for someone skilled in SEO keyword research, you can expect quick payment and a glowing review if you can help me out, tomorrow at the latest (14 June). I have five travel-compensation related keywords in English that i need ... more","English, SEO Auditing",NA,"$0 ","No feedback yet","Lithuania",NA,NA,NA
"2","Need Levey Jennings chart template created in Excel","https://www.upwork.com/job/Need-Levey-Jennings-chart-template-created-Excel_~01cefe4096092eae0a/","Expert",50,2019-06-13,"I need someone to create an Excel template described here: http://www.bioline.org.br/request?mb11114 And have it look like the chart in the attached, but I can modify the labels as much as I need to. Another good example is here, but I can't get it ... more","Microsoft Excel",NA,"$800+ ","5.00 Stars, based on 13 feedbacks","United States",NA,5,13
"3","Analysis of Data on SPSS","https://www.upwork.com/job/Analysis-Data-SPSS_~018f5e9ed58c4f8999/","Expert",100,2019-06-13,"Hi, I need help analysing data on SPSS. I conducted an experiment in which participants had to fill in a PANAS questionnaire. I need to do a component analysis and a reliability analysis. I also need to do either a T-Test or an ANOVA to see if there is a relationship between the variables. I need someone who has experience in SPSS. less","IBM SPSS",NA,"$0 ","No feedback yet","France",NA,NA,NA
"4","Remote Sales Rep | Dedicated Inside Sales | B2B Advertising Sales","https://www.upwork.com/job/Remote-Sales-Rep-Dedicated-Inside-Sales-B2B-Advertising-Sales_~01bc19b70dd1f46fbf/","Expert",NA,2019-06-13,"Hello, We're looking for creative and dynamic ad sale professionals to join our team. CHARGED is the leading B2B magazine, website and news feed for the electric and hybrid vehicle industry. CHARGED readers are key decision makers throughout the EV industry: from small start-ups to the biggest automakers. Headquartered in Saint Petersburg, Florida, we're seeking additions to our print and digital ad sales team. The vast majority of the business is done via phone and email. Some travel is optional to attend trade shows around North America and Europe. Candidates must be willing to learn quickly, with an entrepreneurial spirit and high energy to drive results. A self-starter and ability to work independently is a requirement. The electric vehicle industry is one of the most exciting and fastest growing sectors in the world. Apply to learn more about our position in the industry and plans for growth. Qualifications: Previous experience in sales, customer service, or related field is preferred Marketing or advertising experience is helpful but not required Strong self-starter qualities with an entrepreneurial spirit Ability to build rapport with clients Responsibilities: Oversee and coordinate sales activities Manage sales territories, quotas, and goals for the sales team Analyze sales statistics to identify areas of improvement Track results and trends regularly for business forecasting Report on team and individual performance Develop and execute innovative sales strategies Build and form new partnerships with potential clients less","Cold Calling, Email Handling, Web Research, Appointments,  ",2,"$10k+ ","4.80 Stars, based on 44 feedbacks","United States",NA,4.8,44
"5","Looking for Data Analyst to manage simple data from IoT sensors","https://www.upwork.com/job/Looking-for-Data-Analyst-manage-simple-data-from-IoT-sensors_~014f7ca0f1c5f7a1cb/","Entrylevel",NA,2019-06-13,"We are looking for someone to be in charge of monitoring sensors from the web dashboard to ensure they are displaying data to our customers and deliver weekly reports on what sensors are down. We are looking for someone to commit 5-7 hours per week on this. less","Microsoft Excel",NA,"$7k+ ","4.98 Stars, based on 25 feedbacks","Canada",NA,4.98,25
"6","Quick Analytics and Search Console Screenshare Consultation to Identify Issues for Traffic Decrease","https://www.upwork.com/job/Quick-Analytics-and-Search-Console-Screenshare-Consultation-Identify-Issues-for-Traffic-Decrease_~016c0e2ab8522a7540/","Expert",NA,2019-06-13,"I would like to meet with an expert who can review my Google analytics and Search Console accounts via screen share in real time. I have had a traffic dropoff in the past month after a change in WordPress themes. Most of the traffic lost appears to be Organic Search. I want to figure out the reasons for decrease in Organic Search. I need someone to quickly look at the page HTML and figure out the issues. I likely will be able to fix the issues on my own after the expert freelancer helps me identify them. less","Google Analytics, Google Search Console, SEO Auditing",NA,"$4k+ ","5.00 Stars, based on 18 feedbacks","United States",NA,5,18
"7","Regression Sales Forecasting","https://www.upwork.com/job/Regression-Sales-Forecasting_~017b62ddbb7ab0945b/","Intermediate",NA,2019-06-13,"We would like to create a model to forecast sales and units sold and choose independent variables to be able to do this accurately. We will provide a sample data set that will allow model creation.","Microsoft Excel, R",NA,"$3k+ ","5.00 Stars, based on 23 feedbacks","United States",NA,5,23
"8","Zoho Analytics Reporting Dashboards","https://www.upwork.com/job/Zoho-Analytics-Reporting-Dashboards_~011b765855fe08ef74/","Entrylevel",NA,2019-06-13,"I need someone who has EXTENSIVE experience with Zoho analytics that can setup our analytics platform to be able to show real time reporting. Must have 3+ years experience with Zoho analytics.",NA,NA,"$1k+ ","5.00 Stars, based on 12 feedbacks","United States",NA,5,12
"9","Tableau expert required to train our team how to connect DB and automate uploads","https://www.upwork.com/job/Tableau-expert-required-train-our-team-how-connect-and-automate-uploads_~01a3b29d8a76ce42bf/","Entrylevel",NA,2019-06-13,"We have a basic Tableau environment set-up and we require an expert to help us connect DB and other advanced set-up questions. Initially we require 1 hour and the output would be our databases are connected and automatically updates. This can turn into a longer term project. less",NA,NA,"$4k+ ","5.00 Stars, based on 44 feedbacks","United Kingdom",NA,5,44
"10","Polygon mapping tool","https://www.upwork.com/job/Polygon-mapping-tool_~0179ef6deca8a4761f/","Intermediate",NA,2019-06-13,"I need a mapping tool that works with Google that would allow me to draw custom polygons and save that data to a database.",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
