"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Competitor Product Availability Analysis","https://www.upwork.com/job/Competitor-Product-Availability-Analysis_~01b38a4c60dd161b78/","Expert",NA,2019-06-14,"We are seeking an analyst who can research our competitors product offerings and provide us a report for each category of products.","Google Analytics, Python",NA,"$1k+ ","4.93 Stars, based on 4 feedbacks","United States",NA,4.93,4
"2","Expert Amazon FBA Manager Needed for Product and Keyword Research, China Sourcing, Launch Strategy","https://www.upwork.com/job/Expert-Amazon-FBA-Manager-Needed-for-Product-and-Keyword-Research-China-Sourcing-Launch-Strategy_~01d348b80aebd9510b/","Intermediate",NA,2019-06-14,"What the deliverable is - I need an FBA expert that can help manage the whole process from product research, sourcing, launch, copywriting and operations - Let's get on a call to discuss all details and project description","Microsoft Excel",NA,"$3k+ ","5.00 Stars, based on 8 feedbacks","Australia",NA,5,8
"3","Analysis of clinical data","https://www.upwork.com/job/Analysis-clinical-data_~016e077c31096fb0b4/","Entrylevel",NA,2019-06-14,"Statistical analysis of clinical data. Data is retrospective observational. Analysis is pretty straightforward. It will analyze patient labs (mainly white blood cell counts and simple ratios combining different counts) and outcomes (complications, s ... more","IBM SPSS",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"4","Ongoing Virtual Assistant - Marketing Assistant","https://www.upwork.com/job/Ongoing-Virtual-Assistant-Marketing-Assistant_~01a40eb7594b75f10c/","Entrylevel",NA,2019-06-14,"I am looking for someone to use on ongoing basis, not sure how many hours, but will be up and down. Looking for long term. MUST be 100% fluent in written English. Grammar, syntax, punctuation - some items being done are for clients and cannot accept any errors on these communications. MUST be available 9am-5pm Monday to Friday EST for items - some items can be completed at other times as long as by due date. Items: - assistance with mailchimp campaigns (formatting, entering text, image editing, etc) - minor image editing, creating simple graphics for web ads, etc - quickbooks - entering expenses and data with high level of accuracy - assistance with emails and scheduling - client communication - high level of english accuracy and professionalism - would be good to have some experience with wordpress management - entering text, updating banners, etc - research and sourcing - finding articles on topic, doing research to find supporting points and statistics for topics given - sourcing - finding good software or vendor for item needed - list building - must be able to enter data into spreadsheets from sources provided - experience with buffer would be good, but not mandatory - but may want help curating social content, posting items, etc - other tasks that may come up here and there As things grow, might also want help answering incoming calls, but this will not be right away. less","Data Entry, Communication, Virtual",NA,"$80k+ ","4.96 Stars, based on 124 feedbacks","Canada",NA,4.96,124
"5","Python developer with data processing/modeling experiences needed for an automated analytics product","https://www.upwork.com/job/Python-developer-with-data-processing-modeling-experiences-needed-for-automated-analytics-product_~010cbab586ac3ee58b/","Intermediate",NA,2019-06-14,"Looking for an experienced professional for Python-based data processing tasks such as creating ETL modules to automatically acquires a large volume of data from Google Analytics/Facebook Analytics API and conduct automated analytics on them thru the usage of popular analytics libraries such as sklearn and fbprophet. You will work very closely with the Chief Data Scientist of the company and perform various tasks that will contribute to the construction of an automated digital analytics platform. Familiarities with web and digital analytics tools such as Google Analytics and Facebook analytics is a strong plus. Experiences with getting data from APIs and clean those data via Numpy or Pandas is a must. Experiences with object-oriented programming in python and agile development methodology are also required. We are looking for someone to work with us for the long-term, consistency and good communication is required. less","Python",NA,"$70k+ ","5.00 Stars, based on 5 feedbacks","United States",NA,5,5
"6","Data Analytics Projects","https://www.upwork.com/job/Data-Analytics-Projects_~011c7bd8341d10fe8c/","Intermediate",NA,2019-06-14,"We are seeking a team/group of freelancers who are skilled at a wide variety of data analytics technologies and approaches for handling data analytics requirements for our business. A team with good previous experience handling analytics, dashboarding, reporting, querying, data aggregation, deduplication is ideal for this. less",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"7","I need consultation for reviewing and editing a research paper","https://www.upwork.com/job/need-consultation-for-reviewing-and-editing-research-paper_~010c7c6e0980731e21/","Intermediate",NA,2019-06-14,"Hello I have a research paper that it is written already but I need the following: Proofreading and editing Reviewing the statistical analysis used Suggestion for the abstract and graphical abstract Journal selection The field of the study is regard ... more","Journal Article",NA,"$100 ","5.00 Stars, based on 1 feedback","Saudi Arabia",NA,5,1
"8","2 questions needs to be answered","https://www.upwork.com/job/questions-needs-answered_~014d33e6ed1fcc3e26/","Intermediate",15,2019-06-14,"Dimensionality Reduction, PCA, Decision Trees, Learning Approaches, Time Series, logistic regression with fused lasso penalties. 2 short questions need to be answered This job was posted from a mobile device, so please pardon any typos or any missing details. less","Artificial Neural Networks, Data Mining, Data Science,  ",NA,"$2k+ ","5.00 Stars, based on 2 feedbacks","Singapore",NA,5,2
"9","Creating KPIs for Realty Agency (Tableau Dashboard Integration)","https://www.upwork.com/job/Creating-KPIs-for-Realty-Agency-Tableau-Dashboard-Integration_~016c548243e1cf7cb4/","Entrylevel",500,2019-06-14,"Need to: -Set up and measure all agent KPIs/Success -Track success of current marketing campaigns (KPIs) -Measure OKRs -Optimize all Capmaigns",NA,NA,"$20 ","5.00 Stars, based on 1 feedback","United States",NA,5,1
"10","help with configuration of TAPFILIATE affiliate software","https://www.upwork.com/job/help-with-configuration-TAPFILIATE-affiliate-software_~01ae7bfa3526dc637c/","Intermediate",NA,2019-06-14,"we need help configuring tapfiliate for affiliates with a wordpress woocommerce store of an online course website. You need to have experience with the system and be able to do a video call to share screen.","Affiliate Marketing, Woocommerce",NA,"$100k+ ","4.97 Stars, based on 100 feedbacks","Switzerland",NA,4.97,100
